Acropora
Agaricia
Colpophyllia
Cladocora
Dendrogyra
Dichocoenia
Diploria
Eusmilia
Favia
Isophyllia
Isophyllastrea
Leptoseris
Madracis
Meandrina
Montastraea
Mussa
Mycetophyllia
Oculina
Porites
Scolymia
Siderastrea
Solenastrea
Stephanocoenia
