Acropora
Agaricia
Colpophyllia
Cladocora
Dendrogyra
Dichocoenia
Diploria
Eusmilia
Favia
Isophyllia
Isophyllastrea
Leptoseris
Madracis
Meandrina
Montastraea
Mussa
Mycetophyllia
Oculina
Porites
Scolymia
Siderastrea
Solenastrea
Stephanocoenia
Bare
Turf - No Sediment
Turf - With Sediment
Dictyota
Lobophora
Halimeda
MACRO - Fleshy
MACRO - Calcareous
SPONGE - Other
Gorgonian - Upright
Gorgonian - Encrusting
CCA
Peysonnellia
SPONGE - Cliona spp
Cyanobacteria/Diatom
Millepora
Palythoa
Seagrass
Other
